numero_pedido,cliente,direccion,latitud,longitud,peso_kg
SC689538,Pedro Martínez,"Av. Independencia 3956, Lomas de Zamora",-34.54868269403218,-58.546729838369174,77
SC469653,Pedro Díaz,"Av. La Plata 4596, Quilmes",-34.66938550774219,-58.37071190359814,70
SC860755,Juan Sánchez,"Av. Corrientes 1866, San Martín",-34.6001230343174,-58.47226988547987,55
SC457614,Ana Rodríguez,"Av. Juan B. Justo 1305, San Martín",-34.61662756425011,-58.36388795000906,61
SC281498,Carlos Sánchez,"Av. Santa Fe 9045, La Matanza",-34.67057753243173,-58.488532680849964,65
SC369605,Pedro Torres,"Av. San Martín 9849, Lomas de Zamora",-34.536993794166435,-58.52775511858674,58
SC719936,Juan López,"Av. San Martín 183, Morón",-34.61970507333193,-58.48786647436477,50
SC682239,María Martínez,"Av. Santa Fe 5583, Morón",-34.69603537118656,-58.473416784274654,68
SC107961,Juan Torres,"Av. Corrientes 174, San Isidro",-34.5173448062539,-58.39864075920581,51
SC398106,Luis Sánchez,"Av. Juan B. Justo 746, Quilmes",-34.51925505118475,-58.517214460361984,95
SC536694,María Fernández,"Av. Rivadavia 5780, Tigre",-34.50940335840217,-58.35840774695631,56
SC507573,Sofía López,"Av. Rivadavia 6849, Lomas de Zamora",-34.68375168060123,-58.42413409405161,73
SC676558,Laura Rodríguez,"Av. Libertador 4876, San Martín",-34.647555189449655,-58.49611385549889,70
SC172850,Juan López,"Av. Corrientes 8302, La Matanza",-34.55005394137315,-58.39400885730819,64
SC995062,Ana Martínez,"Av. Libertador 5537, La Matanza",-34.577776057196516,-58.39361375948296,57
SC788494,Valentina Sánchez,"Av. Santa Fe 9944, San Martín",-34.67610954168806,-58.5320218217161,52
SC544143,Carlos Rodríguez,"Av. San Martín 7906, San Isidro",-34.56617406096078,-58.47987297686018,64
SC950107,Laura Pérez,"Av. Rivadavia 6845, Lomas de Zamora",-34.67549619935769,-58.531271942386596,67
SC146614,Luis Gómez,"Av. Corrientes 9419, San Martín",-34.52537430998611,-58.353153836381104,93
SC275491,Juan Gómez,"Av. San Martín 2687, Avellaneda",-34.511495498698004,-58.37100760043035,64
SC262663,Ana Pérez,"Av. La Plata 9545, Tigre",-34.51826658841384,-58.454852127033504,86
SC966857,Ana Gómez,"Av. Juan B. Justo 8192, Tigre",-34.69066276133381,-58.47839282473002,58
SC910002,Juan Torres,"Av. La Plata 1304, Berazategui",-34.56278866611146,-58.45939033466682,85
SC985703,María Sánchez,"Av. San Martín 3407, Avellaneda",-34.5276469412649,-58.54465319989816,99
SC780691,Juan Díaz,"Av. Santa Fe 6776, San Isidro",-34.60634397883006,-58.49730062901559,79
SC196546,Sofía Gómez,"Av. Belgrano 9421, Vicente López",-34.61547347715772,-58.38273631820296,71
SC227097,Laura Gómez,"Av. Corrientes 6562, Morón",-34.587729250753114,-58.381969639670615,84
SC230896,Pedro Pérez,"Av. Cabildo 3191, Lomas de Zamora",-34.67853335325782,-58.505842043554935,72
SC902953,Pedro Pérez,"Av. Belgrano 4658, Morón",-34.567434128437306,-58.41768856925361,84
SC952952,María Sánchez,"Av. San Martín 3071, Avellaneda",-34.682667800894485,-58.3738036076646,80
SC710657,Diego Rodríguez,"Av. Juan B. Justo 8188, Tigre",-34.61928899577737,-58.40035108543136,90
SC303924,Valentina Rodríguez,"Av. Libertador 485, La Matanza",-34.60035221805856,-58.549292810752036,67
SC236125,Juan Torres,"Av. La Plata 7145, Morón",-34.69004352487348,-58.44032763557415,55
SC485501,Sofía Díaz,"Av. La Plata 8826, Lomas de Zamora",-34.53811380405139,-58.35045353748103,100
SC893247,Juan Martínez,"Av. Cabildo 2309, La Matanza",-34.610258721452745,-58.41388833051059,79
SC438197,Juan García,"Av. Cabildo 6719, Morón",-34.64992077363808,-58.366360521492766,74
SC721145,Valentina Sánchez,"Av. Libertador 512, San Isidro",-34.67825499753476,-58.409736366042395,94
SC598658,Carlos García,"Av. Libertador 4477, Lomas de Zamora",-34.61118137248235,-58.511464699373384,94
SC414322,Ana Martínez,"Av. Belgrano 1682, Lomas de Zamora",-34.633803180231716,-58.4575801461564,57
SC197099,Laura Sánchez,"Av. Corrientes 3362, Tigre",-34.589524152086355,-58.37225789844036,92
SC380872,Valentina Sánchez,"Av. Belgrano 1035, San Martín",-34.697340690651316,-58.41746298384087,95
SC841052,Sofía Torres,"Av. Belgrano 6440, Berazategui",-34.52097137237761,-58.540090510141475,88
SC991066,Diego Sánchez,"Av. San Martín 5360, Morón",-34.57631401676788,-58.54842502502222,68
SC901174,Ana Torres,"Av. Independencia 7231, Berazategui",-34.598296571749124,-58.538608948188404,91
SC618911,Diego Rodríguez,"Av. San Martín 9566, Morón",-34.60028448451139,-58.404126867658064,73
SC328543,Carlos Gómez,"Av. Juan B. Justo 8551, San Martín",-34.55004158521888,-58.389732783508975,95
SC658616,Luis Rodríguez,"Av. Libertador 7322, San Martín",-34.52885227859088,-58.52750639892141,91
SC531976,Juan López,"Av. Independencia 7273, Tigre",-34.57857606662706,-58.43015376032039,88
SC507060,Ana Fernández,"Av. Libertador 9506, Vicente López",-34.66547824234231,-58.524255696133764,76
SC189448,Luis Pérez,"Av. Belgrano 4630, Avellaneda",-34.68652386038317,-58.42151031094033,80
SC571228,María López,"Av. Rivadavia 1456, San Martín",-34.65585990197355,-58.460346798079556,54
SC846393,Laura Torres,"Av. Libertador 9208, Berazategui",-34.67959285041004,-58.430048554305024,66
SC230219,Carlos Fernández,"Av. Rivadavia 6413, San Martín",-34.524193059803615,-58.53965237878984,63
SC268468,Diego Rodríguez,"Av. San Martín 8723, La Matanza",-34.64900352385087,-58.46406206581752,74
SC950734,María Díaz,"Av. Belgrano 7275, Quilmes",-34.6445138849179,-58.493222855868325,83
SC416973,Diego López,"Av. Libertador 9723, Tigre",-34.52960997195241,-58.36716997812361,53
SC166376,Juan Fernández,"Av. Independencia 8753, Berazategui",-34.686759894804055,-58.42444728231277,87
SC151482,Laura García,"Av. San Martín 7880, Berazategui",-34.686179868037485,-58.495365413872776,99
SC194971,Juan Gómez,"Av. San Martín 8024, San Martín",-34.638961926384866,-58.384041573528165,96
SC567551,Carlos Torres,"Av. Rivadavia 1221, Tigre",-34.52180272415793,-58.40736584056609,90
SC163473,Diego Pérez,"Av. Independencia 3076, San Isidro",-34.56280770519257,-58.53462002705929,77
